날짜,사번,이름,전화번호,핸드폰 기종,모델넘버,스테이터스,앱 접근 기록,ground_truth
2025-05-04 06:12:14,M95491,이영숙,055-282-2165,Galaxy S21,LM-G910N,위험 감지,위치 정보 요청,0
2025-01-26 13:21:25,M84885,박지후,063-328-9991,Galaxy S21,A2633,차단됨,마이크 사용,0
2025-05-22 10:50:19,M35703,백지영,052-054-7463,LG Velvet,SM-N986N,차단됨,위치 정보 요청,0
2025-05-15 13:17:34,M83553,박영자,055-746-3448,Galaxy S21,A2633,정상,위치 정보 요청,0
2025-05-08 21:42:31,M90739,박성훈,054-290-3702,LG Velvet,LM-G910N,위험 감지,마이크 사용,0
2025-07-01 11:51:02,M78714,이상훈,010-1576-3462,Galaxy S21,SM-N986N,차단됨,위치 정보 요청,0
2025-03-23 01:06:26,M42275,오지은,010-8083-2498,Galaxy Note20,SM-G991N,위험 감지,위치 정보 요청,0
2025-04-16 19:56:21,M41760,김지훈,041-819-7618,Galaxy S21,SM-G991N,차단됨,정상,0
2025-06-13 15:21:59,M19390,김민재,018-446-9892,iPhone 13,SM-N986N,정상,마이크 사용,0
2025-04-29 06:43:15,M44898,박지아,017-866-4416,Galaxy Note20,A2633,정상,마이크 사용,0
2025-01-06 07:16:02,M66369,남시우,052-832-2607,iPhone 13,LM-G910N,정상,카메라 접근,0
2025-03-19 20:45:46,M52390,고상호,032-705-8181,iPhone 13,SM-N986N,정상,위치 정보 요청,0
2025-02-10 00:47:40,M99749,하영진,055-560-6909,Galaxy S21,A2633,차단됨,정상,0
2025-05-08 17:35:43,M85499,곽정남,031-991-6135,Galaxy S21,SM-N986N,차단됨,카메라 접근,0
2025-01-30 13:09:01,M21743,장민서,032-856-0778,iPhone 13,SM-N986N,정상,마이크 사용,0
2025-01-26 05:19:49,M24749,김은경,054-362-1432,Galaxy Note20,LM-G910N,차단됨,정상,0
2025-03-04 01:52:41,M98047,박은주,052-004-5175,Galaxy S21,SM-G991N,정상,마이크 사용,0
2025-05-31 17:11:03,M64209,이서준,033-530-2925,Galaxy Note20,SM-G991N,차단됨,위치 정보 요청,0
2025-04-27 04:45:42,M65514,이현준,032-024-7129,Galaxy S21,SM-G991N,정상,카메라 접근,1
2025-04-08 10:07:29,M57876,김준호,054-551-2464,iPhone 13,SM-G991N,차단됨,카메라 접근,0
2025-01-05 13:44:28,M55653,송우진,054-606-2941,iPhone 13,LM-G910N,차단됨,위치 정보 요청,0
2025-03-19 01:56:09,M34967,최지연,070-7510-8018,Galaxy S21,A2633,위험 감지,위치 정보 요청,0
2025-01-21 04:09:38,M52039,김예원,042-547-7954,iPhone 13,SM-N986N,위험 감지,마이크 사용,1
2025-01-17 23:29:11,M55157,김현정,070-9927-9299,Galaxy S21,LM-G910N,위험 감지,카메라 접근,0
2025-05-21 04:22:15,M87840,백정숙,044-997-2854,LG Velvet,SM-G991N,위험 감지,카메라 접근,0
2025-03-30 05:11:00,M95905,정도윤,053-165-0343,Galaxy S21,SM-G991N,차단됨,카메라 접근,0
2025-07-15 19:55:53,M13172,이하은,052-958-8570,Galaxy Note20,LM-G910N,차단됨,카메라 접근,0
2025-02-11 02:31:23,M49953,구지훈,031-093-6824,iPhone 13,SM-N986N,위험 감지,정상,0
2025-07-03 06:26:05,M32184,김현숙,043-591-3167,Galaxy S21,LM-G910N,정상,마이크 사용,0
2025-02-27 05:50:55,M55838,이서영,044-775-4994,Galaxy S21,SM-N986N,정상,정상,0
2025-06-01 14:32:19,M90769,김영환,017-127-3936,Galaxy S21,LM-G910N,정상,카메라 접근,0
2025-05-17 15:29:10,M67961,권영일,055-529-7081,Galaxy Note20,A2633,정상,위치 정보 요청,1
2025-06-25 13:35:14,M91681,최명숙,031-356-3190,iPhone 13,SM-G991N,정상,위치 정보 요청,1
2025-03-28 08:29:09,M29112,김영환,010-5907-2729,Galaxy S21,A2633,정상,카메라 접근,0
2025-04-27 20:38:48,M67732,고영일,061-247-5913,iPhone 13,LM-G910N,위험 감지,정상,0
2025-04-08 14:09:14,M15882,이순자,070-6699-9987,Galaxy Note20,A2633,차단됨,정상,0
2025-06-22 00:36:39,M40603,한미숙,018-212-4546,LG Velvet,SM-N986N,위험 감지,마이크 사용,0
2025-04-07 01:56:43,M36173,박진우,055-036-4139,Galaxy Note20,LM-G910N,차단됨,위치 정보 요청,0
2025-05-17 07:03:59,M99831,김영희,042-623-6403,LG Velvet,SM-N986N,차단됨,카메라 접근,0
2025-06-18 13:08:52,M58997,이동현,032-387-5915,Galaxy S21,A2633,위험 감지,정상,0
2025-07-10 11:39:06,M30446,최정순,031-791-0514,iPhone 13,SM-G991N,위험 감지,정상,1
2025-01-10 13:37:47,M21247,최선영,062-991-0626,LG Velvet,LM-G910N,차단됨,마이크 사용,0
2025-02-22 09:35:53,M24728,송영호,032-430-7741,iPhone 13,SM-N986N,차단됨,위치 정보 요청,0
2025-03-30 18:54:07,M17148,김상철,032-536-9854,Galaxy S21,A2633,정상,카메라 접근,0
2025-02-16 06:37:48,M41856,김숙자,017-760-4995,iPhone 13,LM-G910N,정상,위치 정보 요청,0
2025-01-16 04:29:43,M91396,김지아,062-976-0133,LG Velvet,SM-G991N,위험 감지,카메라 접근,0
2025-01-05 20:54:32,M29356,김선영,055-721-1692,Galaxy S21,LM-G910N,위험 감지,정상,0
2025-04-12 21:52:08,M47707,김지원,016-347-3913,Galaxy S21,SM-G991N,차단됨,정상,0
2025-06-24 06:01:27,M11800,김건우,053-083-5369,LG Velvet,A2633,위험 감지,카메라 접근,0
2025-07-16 15:56:37,M54993,권지연,043-494-5007,iPhone 13,SM-N986N,위험 감지,위치 정보 요청,0
2025-01-01 13:06:18,M24585,이서영,043-655-7110,Galaxy Note20,LM-G910N,위험 감지,위치 정보 요청,0
2025-07-09 10:04:17,M49992,장상현,063-743-6754,iPhone 13,LM-G910N,정상,마이크 사용,0
2025-03-23 08:01:59,M68990,김재호,053-926-0205,LG Velvet,SM-N986N,차단됨,카메라 접근,0
2025-05-12 05:57:56,M71759,박지후,053-864-1386,iPhone 13,LM-G910N,차단됨,위치 정보 요청,0
2025-02-14 05:10:57,M12981,김성수,042-779-6231,Galaxy Note20,LM-G910N,차단됨,정상,0
2025-04-05 12:31:00,M53499,박지민,061-783-9090,iPhone 13,LM-G910N,차단됨,위치 정보 요청,0
2025-03-14 18:16:46,M37395,오영일,011-571-7274,Galaxy S21,LM-G910N,정상,위치 정보 요청,0
2025-01-05 22:48:34,M80517,이민준,017-886-0147,iPhone 13,SM-N986N,정상,마이크 사용,0
2025-02-24 09:08:27,M37770,남영환,043-160-1194,Galaxy S21,A2633,정상,위치 정보 요청,0
2025-03-19 17:31:11,M36712,조영수,032-600-9839,Galaxy Note20,LM-G910N,차단됨,마이크 사용,0
2025-02-16 20:22:39,M81620,한도윤,02-6445-0293,iPhone 13,SM-N986N,차단됨,정상,0
2025-04-26 03:29:27,M78585,김상현,061-794-0736,Galaxy S21,A2633,정상,정상,0
2025-05-15 20:18:35,M43902,노준혁,070-5935-3986,Galaxy Note20,SM-N986N,위험 감지,정상,0
2025-04-10 22:00:35,M81932,윤민재,018-760-0851,Galaxy S21,SM-G991N,위험 감지,정상,0
2025-02-15 00:36:22,M73311,박춘자,043-764-6740,Galaxy S21,A2633,정상,정상,0
2025-03-25 13:02:20,M91663,류영길,064-726-9313,Galaxy S21,A2633,정상,위치 정보 요청,0
2025-01-11 21:40:18,M28526,황명자,070-1151-7988,iPhone 13,SM-G991N,차단됨,카메라 접근,0
2025-06-05 20:37:58,M97590,정우진,017-288-5853,Galaxy S21,A2633,정상,정상,0
2025-05-29 12:57:06,M12410,김영진,016-803-6433,LG Velvet,A2633,정상,위치 정보 요청,0
2025-06-30 08:20:13,M59362,장재호,070-8589-2792,Galaxy Note20,SM-G991N,위험 감지,마이크 사용,0
2025-06-21 09:06:58,M86415,김은주,061-853-4016,Galaxy Note20,SM-N986N,정상,정상,0
2025-02-18 05:49:48,M96969,정미정,042-919-3251,iPhone 13,LM-G910N,차단됨,카메라 접근,0
2025-05-10 06:43:03,M79048,한동현,061-834-5607,iPhone 13,A2633,위험 감지,위치 정보 요청,0
2025-05-06 20:17:45,M15699,서예지,010-4294-7277,iPhone 13,SM-N986N,차단됨,위치 정보 요청,0
2025-02-12 14:17:40,M43483,김정자,032-330-7171,LG Velvet,SM-N986N,차단됨,위치 정보 요청,0
2025-07-07 08:46:51,M32324,김상현,044-986-9184,Galaxy Note20,SM-G991N,위험 감지,마이크 사용,0
2025-05-04 01:23:03,M17878,송현정,062-969-1153,Galaxy Note20,SM-N986N,차단됨,카메라 접근,0
2025-01-25 18:31:23,M47226,김동현,070-8431-2566,iPhone 13,SM-G991N,차단됨,정상,0
2025-05-11 18:29:09,M36305,최영호,016-704-2855,iPhone 13,SM-N986N,위험 감지,마이크 사용,0
2025-04-17 06:27:05,M90997,박채원,044-610-4126,Galaxy S21,LM-G910N,차단됨,정상,0
2025-01-30 04:52:24,M45557,최경자,02-0891-6499,iPhone 13,SM-N986N,차단됨,카메라 접근,0
2025-07-15 02:13:17,M16957,고지아,032-023-6244,Galaxy Note20,SM-N986N,위험 감지,위치 정보 요청,1
2025-02-23 15:53:40,M70943,이옥자,032-213-9990,Galaxy S21,SM-N986N,차단됨,정상,0
2025-06-11 06:02:23,M95820,조지우,042-342-8981,LG Velvet,SM-G991N,위험 감지,위치 정보 요청,0
2025-05-27 23:01:35,M11092,김건우,018-289-4662,LG Velvet,A2633,위험 감지,위치 정보 요청,0
2025-01-17 23:31:57,M18729,양성민,033-368-2518,Galaxy Note20,SM-G991N,위험 감지,정상,0
2025-05-03 17:34:36,M60940,김경자,061-672-2744,Galaxy S21,LM-G910N,정상,정상,0
2025-04-15 01:38:03,M96556,문상철,017-823-4232,iPhone 13,SM-G991N,정상,카메라 접근,0
2025-02-05 02:45:55,M45561,홍수빈,033-399-7130,iPhone 13,A2633,위험 감지,정상,0
2025-05-12 04:25:50,M96898,윤정수,016-990-6509,Galaxy S21,LM-G910N,정상,카메라 접근,0
2025-02-08 21:24:44,M96520,장은정,052-130-7882,Galaxy S21,A2633,위험 감지,카메라 접근,0
2025-01-16 21:51:18,M57214,장지민,064-726-4817,LG Velvet,A2633,정상,정상,0
2025-02-17 18:49:07,M24141,박재현,054-157-4724,iPhone 13,LM-G910N,정상,위치 정보 요청,0
2025-07-01 21:37:56,M12500,김영길,011-474-8523,Galaxy Note20,A2633,차단됨,마이크 사용,0
2025-06-19 00:42:55,M48337,오옥자,011-235-0667,iPhone 13,SM-G991N,정상,정상,0
2025-05-08 00:29:06,M95119,우도현,02-0542-1977,LG Velvet,A2633,차단됨,정상,0
2025-07-14 16:44:53,M60662,김수민,061-342-6809,Galaxy S21,SM-N986N,정상,카메라 접근,0
2025-01-15 19:52:06,M40299,박현정,070-8165-9327,iPhone 13,SM-G991N,위험 감지,카메라 접근,0
2025-03-27 11:44:39,M59899,이도현,053-168-9002,Galaxy S21,A2633,차단됨,카메라 접근,0
2025-07-05 23:25:46,M76655,윤숙자,043-191-3905,iPhone 13,SM-N986N,정상,정상,0
2025-07-04 07:09:10,M23055,김상철,017-690-8312,Galaxy Note20,SM-G991N,정상,마이크 사용,0
2025-05-07 16:01:42,M51347,유성훈,042-638-2268,Galaxy Note20,LM-G910N,위험 감지,정상,0
2025-02-02 18:05:27,M73525,김영길,041-122-7236,iPhone 13,SM-G991N,차단됨,정상,0
2025-04-02 07:47:17,M88263,최진우,031-413-6334,iPhone 13,LM-G910N,위험 감지,정상,0
2025-03-06 18:25:32,M79672,송승현,02-6996-0212,Galaxy S21,SM-G991N,차단됨,마이크 사용,0
2025-03-18 18:53:46,M21537,조예지,042-293-0033,Galaxy S21,SM-N986N,위험 감지,마이크 사용,0
2025-04-17 16:17:09,M34434,진정순,064-797-3656,LG Velvet,LM-G910N,정상,카메라 접근,0
2025-02-05 18:58:40,M36066,황준혁,018-712-3714,LG Velvet,SM-G991N,위험 감지,위치 정보 요청,0
2025-03-19 22:16:46,M75621,황은주,042-301-9198,iPhone 13,LM-G910N,정상,정상,0
2025-05-11 11:29:25,M70029,고현숙,033-828-4023,Galaxy Note20,A2633,정상,카메라 접근,0
2025-04-04 18:19:50,M83490,김민서,055-567-6447,LG Velvet,SM-G991N,위험 감지,마이크 사용,0
2025-03-22 17:22:28,M12816,문서연,053-986-3568,LG Velvet,SM-G991N,정상,정상,0
2025-04-15 22:14:56,M15210,엄시우,011-435-5680,Galaxy Note20,SM-N986N,정상,마이크 사용,0
2025-04-06 13:02:32,M42426,송상훈,051-307-6541,Galaxy S21,SM-N986N,위험 감지,위치 정보 요청,0
2025-02-22 11:50:52,M79391,김서준,043-035-6864,Galaxy S21,SM-N986N,정상,카메라 접근,0
2025-04-25 20:37:15,M49967,김지혜,02-2641-6918,Galaxy S21,LM-G910N,차단됨,위치 정보 요청,0
2025-04-10 09:49:14,M53721,진영희,061-176-6119,iPhone 13,SM-G991N,정상,마이크 사용,0
2025-03-30 16:49:03,M74216,이영일,044-657-5960,iPhone 13,LM-G910N,정상,마이크 사용,0
2025-02-23 09:01:18,M61563,이중수,010-5716-9919,Galaxy S21,SM-G991N,위험 감지,카메라 접근,0
2025-06-02 00:53:22,M30578,김은주,055-446-8073,Galaxy Note20,SM-N986N,위험 감지,정상,0
2025-05-31 15:42:39,M12408,박동현,016-328-1450,Galaxy S21,LM-G910N,정상,정상,0
2025-02-21 13:32:03,M55453,김춘자,017-722-7865,Galaxy S21,A2633,차단됨,카메라 접근,0
2025-06-20 11:16:17,M99694,김성현,062-177-4311,iPhone 13,A2633,차단됨,정상,0
2025-01-22 19:02:54,M56125,박영환,017-432-4257,Galaxy Note20,SM-G991N,위험 감지,카메라 접근,0
2025-01-02 06:02:51,M56580,이영희,02-3260-7938,LG Velvet,LM-G910N,정상,카메라 접근,0
2025-04-13 15:32:28,M91950,권민재,044-822-4179,Galaxy Note20,LM-G910N,정상,마이크 사용,0
2025-03-24 15:32:28,M49626,배은지,062-868-8527,iPhone 13,SM-G991N,정상,카메라 접근,0
2025-06-17 10:15:48,M40959,우영희,031-014-2297,LG Velvet,SM-G991N,정상,카메라 접근,0
2025-04-26 12:33:52,M75700,김보람,02-3982-8565,iPhone 13,SM-N986N,위험 감지,카메라 접근,0
2025-01-06 20:13:23,M46159,서진호,017-029-0375,Galaxy S21,SM-G991N,정상,마이크 사용,0
2025-01-13 09:34:03,M18127,배수민,053-489-0704,LG Velvet,SM-N986N,정상,마이크 사용,0
2025-07-10 00:23:38,M92023,이수빈,011-129-4046,iPhone 13,LM-G910N,위험 감지,카메라 접근,0
2025-02-11 10:40:27,M43774,최성수,033-819-4482,Galaxy S21,A2633,차단됨,위치 정보 요청,0
2025-02-11 12:06:50,M60747,한서영,062-681-8850,iPhone 13,A2633,정상,정상,0
2025-04-23 02:56:03,M13862,박정희,063-402-5966,Galaxy Note20,SM-N986N,위험 감지,마이크 사용,0
2025-01-11 19:58:10,M82737,송건우,011-338-4007,iPhone 13,SM-G991N,차단됨,마이크 사용,0
2025-02-23 04:03:28,M46725,박정남,011-461-9469,Galaxy Note20,SM-G991N,정상,위치 정보 요청,0
2025-04-16 17:25:00,M39567,김영희,018-556-1184,iPhone 13,A2633,정상,카메라 접근,0
2025-03-07 08:10:21,M29884,이정남,031-451-3496,Galaxy S21,A2633,정상,위치 정보 요청,0
2025-07-17 03:17:21,M54798,이서현,063-776-9536,Galaxy Note20,SM-N986N,정상,위치 정보 요청,0
2025-06-25 21:48:00,M61491,강옥순,016-188-4632,Galaxy Note20,SM-N986N,정상,정상,0
2025-04-22 13:21:30,M96105,황정자,032-735-9219,Galaxy S21,LM-G910N,위험 감지,마이크 사용,0
2025-03-09 08:09:24,M27991,양영자,033-889-6031,Galaxy Note20,A2633,정상,위치 정보 요청,0
2025-03-09 03:41:46,M21507,김영환,011-692-1062,iPhone 13,SM-G991N,정상,카메라 접근,0
2025-01-28 07:38:48,M60096,김승민,044-973-0813,iPhone 13,LM-G910N,차단됨,카메라 접근,0
2025-05-05 18:27:22,M78251,김서영,055-713-6866,Galaxy Note20,SM-N986N,정상,정상,0
2025-06-09 13:23:32,M98866,이정호,052-292-1589,iPhone 13,SM-N986N,위험 감지,마이크 사용,0
2025-06-10 14:31:48,M90274,김보람,053-886-4794,Galaxy Note20,LM-G910N,차단됨,카메라 접근,0
2025-06-13 11:10:44,M91988,홍영수,053-432-3764,LG Velvet,A2633,정상,마이크 사용,0
2025-05-01 19:46:50,M99983,이준서,02-6760-8110,iPhone 13,LM-G910N,위험 감지,카메라 접근,0
2025-04-04 13:03:46,M39809,박지아,063-386-0342,Galaxy Note20,SM-G991N,정상,위치 정보 요청,0
2025-05-10 00:24:46,M64700,이채원,031-599-2153,iPhone 13,LM-G910N,위험 감지,카메라 접근,0
2025-06-25 04:34:04,M41504,강보람,02-3736-9961,LG Velvet,A2633,위험 감지,마이크 사용,0
2025-03-04 07:32:12,M85090,서영식,044-170-7553,LG Velvet,SM-N986N,정상,위치 정보 요청,0
2025-07-15 01:02:30,M30021,최진호,02-0035-1706,iPhone 13,SM-N986N,위험 감지,위치 정보 요청,0
2025-03-30 00:27:29,M65897,조은지,02-7396-9273,LG Velvet,SM-N986N,위험 감지,정상,0
2025-04-30 07:57:33,M50944,김예진,018-484-4009,iPhone 13,SM-N986N,차단됨,카메라 접근,0
2025-06-06 19:44:56,M89346,이민지,062-053-9729,Galaxy S21,LM-G910N,정상,정상,0
2025-06-09 20:26:58,M53160,하상호,010-9111-2422,Galaxy S21,SM-N986N,차단됨,마이크 사용,0
2025-01-13 02:16:56,M68873,김옥자,043-482-8667,LG Velvet,SM-G991N,차단됨,정상,0
2025-04-25 13:14:25,M81071,김성민,018-882-4586,iPhone 13,SM-N986N,위험 감지,정상,0
2025-04-30 07:18:41,M27271,이유진,042-142-1098,Galaxy S21,LM-G910N,차단됨,위치 정보 요청,1
2025-05-26 02:24:48,M37100,서수진,064-740-9261,Galaxy Note20,A2633,정상,정상,0
2025-04-01 01:08:02,M95520,안시우,031-811-7558,Galaxy Note20,SM-N986N,정상,마이크 사용,0
2025-06-30 21:53:04,M28163,우수민,054-772-5252,Galaxy Note20,SM-N986N,정상,정상,0
2025-04-17 13:29:59,M86156,김수민,062-894-7853,iPhone 13,SM-G991N,정상,마이크 사용,0
2025-05-19 04:56:21,M80956,이상현,011-969-1457,LG Velvet,SM-G991N,정상,마이크 사용,0
2025-01-10 12:26:25,M99659,김준영,064-777-0864,iPhone 13,LM-G910N,정상,마이크 사용,0
2025-02-03 23:17:51,M36517,김경자,018-864-8024,LG Velvet,SM-N986N,차단됨,카메라 접근,0
2025-06-26 15:33:18,M28102,서건우,041-071-9803,iPhone 13,A2633,위험 감지,카메라 접근,0
2025-02-28 22:47:02,M50501,손주원,011-614-0461,iPhone 13,A2633,차단됨,마이크 사용,0
2025-07-03 10:15:34,M78656,조민재,031-133-8419,iPhone 13,SM-N986N,위험 감지,정상,0
2025-06-02 17:34:58,M27727,김영순,011-398-0538,Galaxy S21,SM-G991N,위험 감지,정상,0
2025-05-05 02:09:32,M66369,송현지,042-943-2506,Galaxy Note20,LM-G910N,차단됨,위치 정보 요청,0
2025-01-02 23:31:33,M29025,김정식,064-720-4850,Galaxy Note20,SM-N986N,위험 감지,카메라 접근,0
2025-06-18 23:11:09,M96013,손시우,062-732-9719,iPhone 13,SM-N986N,차단됨,위치 정보 요청,1
2025-05-31 22:05:13,M84035,이재현,064-747-6780,Galaxy Note20,SM-G991N,정상,정상,0
2025-03-05 17:02:39,M30715,최수진,054-181-8167,Galaxy Note20,SM-N986N,정상,정상,0
2025-04-18 04:10:26,M51614,허영철,044-539-8807,LG Velvet,LM-G910N,차단됨,카메라 접근,1
2025-01-17 02:52:14,M18888,강정호,043-928-8243,Galaxy S21,A2633,차단됨,마이크 사용,0
2025-06-19 03:21:07,M83051,김보람,018-530-5282,Galaxy Note20,A2633,정상,위치 정보 요청,0
2025-07-10 14:40:13,M79856,박민수,010-0546-1278,iPhone 13,LM-G910N,차단됨,정상,0
2025-04-02 12:43:40,M25517,박준혁,054-596-6884,iPhone 13,A2633,위험 감지,마이크 사용,0
2025-04-10 16:13:21,M34134,유영철,051-222-9829,LG Velvet,SM-N986N,정상,마이크 사용,0
2025-02-21 01:17:43,M51628,김광수,02-1248-7835,Galaxy Note20,LM-G910N,위험 감지,마이크 사용,0
2025-05-03 19:04:57,M29073,김현준,070-2881-8407,iPhone 13,SM-G991N,정상,정상,0
2025-04-22 17:58:13,M13864,조영숙,044-599-0618,iPhone 13,SM-G991N,정상,정상,0
2025-04-23 23:45:02,M51771,윤병철,042-145-1175,Galaxy S21,SM-G991N,차단됨,카메라 접근,0
2025-05-05 21:57:09,M64269,윤영숙,070-6544-9689,Galaxy Note20,SM-G991N,위험 감지,마이크 사용,0
2025-07-09 03:05:43,M63903,윤춘자,044-753-6938,Galaxy S21,SM-N986N,정상,위치 정보 요청,0
2025-02-25 08:21:30,M49760,김미경,018-683-6835,Galaxy S21,SM-N986N,차단됨,카메라 접근,0
2025-03-05 23:41:54,M68065,강민수,011-864-4454,Galaxy Note20,SM-G991N,차단됨,마이크 사용,0
2025-01-18 17:25:54,M93472,박동현,033-632-5618,Galaxy S21,SM-N986N,위험 감지,위치 정보 요청,0
2025-04-11 04:46:35,M45887,김미영,017-343-9114,Galaxy Note20,LM-G910N,정상,위치 정보 요청,0
2025-04-23 16:58:16,M29917,권예은,011-285-4577,Galaxy Note20,LM-G910N,차단됨,카메라 접근,0
2025-07-11 03:10:16,M34632,김현주,019-139-5995,Galaxy Note20,LM-G910N,정상,마이크 사용,0
2025-05-27 13:42:25,M23994,성정식,033-473-9491,Galaxy S21,SM-G991N,위험 감지,정상,0
2025-04-17 15:17:37,M27241,이지혜,070-4341-1945,Galaxy Note20,SM-G991N,차단됨,카메라 접근,0
2025-05-20 21:21:00,M34215,윤수빈,042-164-8841,Galaxy Note20,SM-G991N,차단됨,카메라 접근,0
2025-07-09 12:16:28,M13433,이민지,042-685-7889,iPhone 13,SM-N986N,정상,카메라 접근,0
2025-01-28 14:24:34,M90213,박광수,043-522-5522,Galaxy S21,A2633,정상,위치 정보 요청,0
2025-01-14 11:30:12,M90864,최민재,055-696-2006,Galaxy S21,A2633,차단됨,마이크 사용,0
2025-05-03 18:47:45,M44978,이예준,063-819-4066,Galaxy Note20,SM-N986N,위험 감지,정상,0
2025-01-01 14:59:18,M89377,곽영길,061-869-1017,iPhone 13,SM-G991N,차단됨,마이크 사용,0
2025-07-13 05:33:52,M84323,서서준,062-358-1220,iPhone 13,SM-G991N,차단됨,카메라 접근,0
2025-05-13 01:19:46,M90263,서정남,053-361-0188,LG Velvet,SM-N986N,위험 감지,위치 정보 요청,1
2025-06-25 22:48:29,M40266,이예준,055-238-6757,LG Velvet,LM-G910N,위험 감지,위치 정보 요청,0
2025-01-20 16:08:01,M88166,권승민,051-893-5122,iPhone 13,LM-G910N,차단됨,카메라 접근,0
2025-01-27 21:02:00,M40432,김준혁,032-141-4726,Galaxy S21,SM-N986N,위험 감지,위치 정보 요청,0
2025-05-05 20:57:58,M40266,김정자,041-765-2292,Galaxy S21,SM-N986N,정상,마이크 사용,0
2025-04-06 07:20:59,M13418,허서준,053-302-4504,Galaxy Note20,LM-G910N,위험 감지,위치 정보 요청,0
2025-04-07 19:31:20,M57089,허현숙,010-1777-5881,LG Velvet,LM-G910N,차단됨,마이크 사용,0
2025-05-21 08:18:30,M20417,장성훈,062-189-1085,iPhone 13,A2633,위험 감지,마이크 사용,0
2025-05-10 16:30:15,M72469,김아름,064-740-5750,Galaxy Note20,A2633,차단됨,위치 정보 요청,0
2025-01-27 08:40:06,M27575,윤옥자,054-901-5828,Galaxy S21,A2633,차단됨,카메라 접근,0
2025-04-23 22:47:40,M75840,한성수,062-007-7697,Galaxy Note20,SM-G991N,위험 감지,마이크 사용,0
2025-02-24 04:13:23,M89260,김종수,070-3759-7300,Galaxy Note20,LM-G910N,차단됨,정상,0
2025-03-30 10:06:36,M71441,양서영,052-520-0623,iPhone 13,SM-G991N,위험 감지,마이크 사용,1
2025-02-17 03:02:44,M95140,박도윤,051-720-9301,Galaxy Note20,SM-N986N,위험 감지,위치 정보 요청,0
2025-01-19 22:18:17,M59015,최정남,053-298-7956,iPhone 13,SM-G991N,위험 감지,마이크 사용,0
2025-04-06 23:05:13,M34114,최옥자,017-409-5845,LG Velvet,SM-G991N,차단됨,정상,0
2025-02-22 01:03:20,M60785,김도윤,018-151-4885,Galaxy Note20,SM-N986N,위험 감지,정상,0
2025-05-10 14:45:50,M74414,김성현,02-4416-5492,Galaxy S21,SM-G991N,차단됨,정상,0
2025-02-22 10:49:38,M72108,이시우,011-117-3296,Galaxy S21,SM-G991N,차단됨,카메라 접근,0
2025-06-27 08:45:38,M28024,고재호,016-570-5901,Galaxy Note20,A2633,차단됨,정상,0
2025-03-13 15:24:22,M31467,김종수,070-7005-2602,LG Velvet,SM-N986N,정상,카메라 접근,0
2025-06-02 14:24:50,M35330,최서현,061-244-3017,Galaxy S21,SM-N986N,정상,정상,0
2025-04-09 06:57:38,M39658,김준호,043-411-7641,LG Velvet,SM-N986N,정상,정상,0
2025-06-26 22:51:38,M14224,이윤서,032-922-2161,Galaxy Note20,SM-N986N,정상,마이크 사용,0
2025-04-27 18:06:34,M63554,이동현,070-7304-0946,LG Velvet,LM-G910N,위험 감지,위치 정보 요청,0
2025-01-17 08:09:13,M11967,김지은,016-410-6635,iPhone 13,LM-G910N,정상,정상,0
2025-03-01 07:50:16,M45370,강정호,044-770-5527,Galaxy S21,SM-N986N,위험 감지,위치 정보 요청,0
2025-04-25 10:13:54,M64138,양경수,033-392-7536,LG Velvet,LM-G910N,정상,카메라 접근,0
2025-01-10 07:55:57,M39170,김경수,031-397-0467,Galaxy S21,SM-G991N,위험 감지,위치 정보 요청,0
2025-01-09 08:09:15,M97993,송민서,064-770-8900,LG Velvet,A2633,위험 감지,위치 정보 요청,0
2025-01-05 17:55:14,M36585,이지우,052-706-2800,Galaxy S21,A2633,위험 감지,정상,0
2025-07-02 23:47:29,M36812,최영일,054-931-6828,Galaxy S21,SM-G991N,차단됨,위치 정보 요청,0
2025-02-22 02:58:13,M18668,김정수,042-612-8205,Galaxy Note20,A2633,정상,정상,0
2025-03-14 06:08:16,M33209,윤서윤,054-267-2711,LG Velvet,SM-G991N,위험 감지,카메라 접근,0
2025-03-21 02:06:35,M67577,김종수,055-362-2916,Galaxy Note20,SM-G991N,위험 감지,정상,0
2025-05-11 22:06:20,M90879,박영순,053-659-1944,Galaxy S21,A2633,차단됨,위치 정보 요청,0
2025-06-19 08:44:58,M74217,오정웅,010-6201-0374,LG Velvet,SM-G991N,정상,마이크 사용,0
2025-01-16 07:59:45,M52584,백지연,041-312-9409,LG Velvet,A2633,정상,카메라 접근,0
2025-01-04 09:28:59,M69971,김진호,055-345-4053,iPhone 13,SM-N986N,정상,정상,0
2025-02-26 07:13:55,M42346,장지아,032-747-9047,Galaxy S21,A2633,위험 감지,위치 정보 요청,0
2025-02-23 10:33:51,M66040,장하윤,033-253-7536,iPhone 13,A2633,위험 감지,카메라 접근,0
2025-03-19 02:07:20,M63066,이지우,011-469-1015,iPhone 13,SM-N986N,차단됨,카메라 접근,0
2025-03-02 05:30:09,M15482,남정숙,063-173-7455,LG Velvet,A2633,위험 감지,카메라 접근,0
2025-07-10 09:27:31,M89682,박영진,010-3145-3336,iPhone 13,SM-G991N,정상,정상,0
2025-02-12 16:48:40,M59856,이지우,055-446-9005,Galaxy S21,LM-G910N,차단됨,마이크 사용,0
2025-01-10 04:06:56,M51012,오서현,063-301-2153,Galaxy Note20,SM-N986N,정상,카메라 접근,0
